Q.No.,Date,Text,Asking Member,Addressed Ministry
664,31-Mar-2023,Location for Cultivation of Plants,Malook Nagar,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
665,31-Mar-2023,Prevention of Smoking at Public Places,"V. Kalanidhi
M. Selvaraj",HEALTH AND FAMILY WELFARE
666,31-Mar-2023,Quality Control and Standardization of Chemicals,Jayant Sinha,CHEMICALS AND FERTILIZERS
667,31-Mar-2023,Implementation of Populist Election Manifestos,Gopal Chinayya Shetty,LAW AND JUSTICE
668,31-Mar-2023,Vaccination Programmes for Children in Tamil Nadu,Dayanidhi Maran,HEALTH AND FAMILY WELFARE
669,31-Mar-2023,Jan Aushadhi Kendras,"Rajendra Dhedya Gavit
Brijendra Singh
Khan Saumitra
Sunil Baburao Mendhe",CHEMICALS AND FERTILIZERS
670,31-Mar-2023,Action for Contempt of Court on PILs,Hanuman Beniwal,LAW AND JUSTICE
671,31-Mar-2023,Ambulance Services,Pratibha Singh,HEALTH AND FAMILY WELFARE
672,31-Mar-2023,Women in Law Universities and Colleges,Asaduddin Owaisi,LAW AND JUSTICE
673,31-Mar-2023,Utilisation of Funds for Establishment of FTCs,"Manoj Kumar Tiwari
Nishikant Dubey",LAW AND JUSTICE
674,31-Mar-2023,Defence Academy in Tribal Areas,"Gajendra Singh Patel
Durga Das Uikey",DEFENCE
675,31-Mar-2023,Vacant Post of Chief Justice in Madras High Court,"A.K.P. Chinraj
Thalikkottai Rajuthevar Baalu",LAW AND JUSTICE
676,31-Mar-2023,e-Prescription,"Mohanbhai Kalyanji Kundariya
Dipsinh Shankarsinh Rathod",HEALTH AND FAMILY WELFARE
677,31-Mar-2023,Deaths due to COVID-19,"Anto Antony
Thirumaa Valavan Thol",HEALTH AND FAMILY WELFARE
678,31-Mar-2023,Encroachment on Defence Land,Rajendra Agrawal,DEFENCE
679,31-Mar-2023,Women Helpline Scheme,Ganesan Selvam,WOMEN AND CHILD DEVELOPMENT
680,31-Mar-2023,One Stop Centres in Karnataka,"Annasaheb Shankar Jolle
L.S. Tejasvi Surya",WOMEN AND CHILD DEVELOPMENT
681,31-Mar-2023,Ambulance Services,Pratibha Singh,HEALTH AND FAMILY WELFARE
682,31-Mar-2023,License to MBBS Graduates for Practice,"Arvind Ganpat Sawant
Jadon Chandra Sen
Sanjay Haribhau Jadhav",HEALTH AND FAMILY WELFARE
683,31-Mar-2023,Funds under Ujjwala Scheme,Mohammad Jawed,WOMEN AND CHILD DEVELOPMENT
684,31-Mar-2023,Funds under Mission Shakti in Jharkhand,Sanjay Seth,WOMEN AND CHILD DEVELOPMENT
685,31-Mar-2023,Maternal Mortality Rates,Rajan Baburao Vichare,WOMEN AND CHILD DEVELOPMENT
686,31-Mar-2023,Anti-India Posters at Geneva,"Gaddam Ranjith Reddy
Manickam Tagore B
Jai Prakash",EXTERNAL AFFAIRS
687,31-Mar-2023,Sustainable Development Goals,P. C. Mohan,WOMEN AND CHILD DEVELOPMENT
688,31-Mar-2023,Juvenile Observation Homes,Pinaki Misra,WOMEN AND CHILD DEVELOPMENT
689,31-Mar-2023,National Plan for Implementation of Schemes,Poonam (Mahajan) Vajendla Rao,WOMEN AND CHILD DEVELOPMENT
690,31-Mar-2023,Treatment of Rare Diseases (SMA),"Sanghamitra Maurya
Jadon Chandra Sen",HEALTH AND FAMILY WELFARE
691,31-Mar-2023,Cultural Exchange with ASEAN countries,"Pushpendra Singh Chandel
Mala Rajya Laxmi Shah",EXTERNAL AFFAIRS
692,31-Mar-2023,Ban on Junk Foods/Soft Drinks,Imtiaz Jaleel Syed,HEALTH AND FAMILY WELFARE
693,31-Mar-2023,Conservation of Medicinal Plants in Maharashtra,Shriniwas Dadasaheb Patil,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
694,31-Mar-2023,CSR Funds for upgradation of Anganwadis,Chandeshwar Prasad,WOMEN AND CHILD DEVELOPMENT
695,31-Mar-2023,Permission to Foreign Legal Firms for Practice,"Raja Amareshwara Naik
Rajveer (Raju Bhaiya) Singh
Vinod Kumar Sonkar
Bhola Singh
Sukanta Majumdar",LAW AND JUSTICE
696,31-Mar-2023,Air Pollution in South Asia,"Satyadev Pachauri
Jagannath Sarkar
Hasnain Masoodi
Brijendra Singh
Sunita Duggal",EXTERNAL AFFAIRS
697,31-Mar-2023,Antibiotic Resistance,M. P. Abdussamad Samadani,HEALTH AND FAMILY WELFARE
698,31-Mar-2023,GST Free Coronary Stents,P. Ravindhranath,CHEMICALS AND FERTILIZERS
699,31-Mar-2023,Cancer Patients,"Komati Reddy Venkat Reddy
Y. S. Avinash Reddy
Manne Srinivas Reddy",HEALTH AND FAMILY WELFARE
700,31-Mar-2023,Comprehensive Policy to promote AYUSH Medical Practices,S. Gnanathiraviam,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
701,31-Mar-2023,Assistance to Sri Lanka,"Mitesh Rameshbhai (Bakabhai) Patel
Shardaben Anilbhai Patel",EXTERNAL AFFAIRS
702,31-Mar-2023,Implementation of Projects under Sagarmala Programme,"Manoj Kishorbhai Kotak
Chandra Sekhar Sahu
Jayant Sinha
Raksha Nikhil Khadse","PORTS, SHIPPING AND WATERWAYS"
703,31-Mar-2023,Monitoring of Sale of Generic Medicines through PMJAK,"Sangeeta Kumari Singh Deo
Rajveer (Raju Bhaiya) Singh
Vinod Kumar Sonkar
Bhola Singh
Sukanta Majumdar
Raja Amareshwara Naik
Jayanta Kumar Roy",CHEMICALS AND FERTILIZERS
704,31-Mar-2023,National Oral Health Programme,"Dhanush M Kumar
Sunil Dattatray Tatkare
C.N. Annadurai
Subhash Ramrao Bhamre
Kuldeep Rai Sharma
Ganesan Selvam
Manjulata Mandal
Supriya Sadanand Sule
Amol Ramsing Kolhe
DNV Senthilkumar. S.",HEALTH AND FAMILY WELFARE
705,31-Mar-2023,Citizen Centric Services through e-Courts,Dr. T. Sumathy (a) Thamizhachi Thangapandian,LAW AND JUSTICE
706,31-Mar-2023,Funds to National Commission for Women,"Bhavana Gawali (Patil)
Krupal Balaji Tumane",WOMEN AND CHILD DEVELOPMENT
707,31-Mar-2023,Criteria for Designating Senior Advocates in SC and HCs,Manish Tewari,LAW AND JUSTICE
708,31-Mar-2023,Sale of Medicines at Jan Aushadhi Kendras,Dean Kuriakose,CHEMICALS AND FERTILIZERS
709,31-Mar-2023,Hostels for Working Women,"Umesh G. Jadhav
B. Y. Raghavendra
Sanganna Amarappa Karadi",WOMEN AND CHILD DEVELOPMENT
710,31-Mar-2023,Setting up of Medical Colleges in Tribal Districts,Jaswantsinh Sumanbhai Bhabhor,HEALTH AND FAMILY WELFARE
711,31-Mar-2023,Cases of Blindness,"C.N. Annadurai
Arun Kumar Sagar",HEALTH AND FAMILY WELFARE
712,31-Mar-2023,DRDO Food Research Lab,"Chinta Anuradha
Reddeppa Nallakonda Gari
Midhun Reddy",DEFENCE
713,31-Mar-2023,Mission Shakti,"Dibyendu Adhikari
Mimi Chakraborty",WOMEN AND CHILD DEVELOPMENT
714,31-Mar-2023,Demand for High-Efficiency Liquid Fertilizers,"Ranjeetsingh Naik Nimbalkar
Saikia Dilip
Naranbhai Bhikhabhai Kachhadiya
Devji Mansingram Patel",CHEMICALS AND FERTILIZERS
715,31-Mar-2023,Malnutrition Deaths among Children,"Kani K. Navas
Mohammad Jawed
Y. S. Avinash Reddy",WOMEN AND CHILD DEVELOPMENT
716,31-Mar-2023,Cancer Care Facilities/Therapy Units,S. Ramalingam,HEALTH AND FAMILY WELFARE
717,31-Mar-2023,Representation of Women in Legislative Bodies,"Mala Roy
Ranjeetsingh Naik Nimbalkar
Pinaki Misra
Devendrappa Y
Saikia Dilip
Naranbhai Bhikhabhai Kachhadiya
Devji Mansingram Patel",LAW AND JUSTICE
718,31-Mar-2023,Permanent Advocates,Sunil Kumar Singh,LAW AND JUSTICE
719,31-Mar-2023,Fast Track Courts for Undertrials,"Ramya Haridas
Poonam (Mahajan) Vajendla Rao",LAW AND JUSTICE
720,31-Mar-2023,Indigenous Defence Production,Thomas Chazhikadan,DEFENCE
721,31-Mar-2023,Cases of Rare Diseases,"Ramesh Chand Bind
Mitesh Rameshbhai (Bakabhai) Patel
Shardaben Anilbhai Patel","PORTS, SHIPPING AND WATERWAYS"
722,31-Mar-2023,Digitization of Anganwadis,Vishnu Dutt Sharma,WOMEN AND CHILD DEVELOPMENT
723,31-Mar-2023,Crime against Women,Nishikant Dubey,WOMEN AND CHILD DEVELOPMENT
724,31-Mar-2023,AYUSH Colleges,Ramakant Bhargava,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
725,31-Mar-2023,Maternal Mortality Ratio,Kripanath Mallah,HEALTH AND FAMILY WELFARE
726,31-Mar-2023,Security of Women,Jaskaur Meena,WOMEN AND CHILD DEVELOPMENT
727,31-Mar-2023,Data of Cancer Patients,"Heena Vijaykumar Gavit
Krishna Pal Singh Yadav",HEALTH AND FAMILY WELFARE
728,31-Mar-2023,Saksham Anganwadi,Pallab Lochan Das,WOMEN AND CHILD DEVELOPMENT
729,31-Mar-2023,Undertrial Review Committees,"L.S. Tejasvi Surya
Umesh G. Jadhav
B. Y. Raghavendra
Sanganna Amarappa Karadi
Aparajita Sarangi",LAW AND JUSTICE
730,31-Mar-2023,Self-reliance in Defence Manufacturing,"Nalin Kumar Kateel
Parvesh Sahib Singh
D.K. Suresh
S. Jagathrakshakan",DEFENCE
731,31-Mar-2023,RO-RO/RO-PAX Ferry,"Ramesh Chand Bind
Mitesh Rameshbhai (Bakabhai) Patel
Shardaben Anilbhai Patel","PORTS, SHIPPING AND WATERWAYS"
732,31-Mar-2023,Attacks on Temples Abroad,"Vellalath Kochukrishnan Nair. Sreekandan
Anto Antony",EXTERNAL AFFAIRS
733,31-Mar-2023,Status gap between Modern Medicine and AYUSH,Jual Oram,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
734,31-Mar-2023,Vaccination among Children and Adults,Abhishek Banerjee,HEALTH AND FAMILY WELFARE
735,31-Mar-2023,Achievement of Tribunals,Vijay Kumar Dubey,LAW AND JUSTICE
736,31-Mar-2023,Engineers Working in Kuwait,Abdul Majeed Ariff,EXTERNAL AFFAIRS
737,31-Mar-2023,Poshan Vatika in Anganwadi Centres,Janardan Singh Sigriwal,WOMEN AND CHILD DEVELOPMENT
738,31-Mar-2023,Rising Cases of H3N2,"Sanjay Sadashivrao Mandlik
Sudheer Gupta
Ramesh Chander Kaushik
Sambhajirao Mane Dhairyasheel
Bidyut Baran Mahato
Prataprao Jadhav
Shrirang Appa Barne",HEALTH AND FAMILY WELFARE
739,31-Mar-2023,Fast Track Courts in Uttar Pradesh,Rajveer Diler,LAW AND JUSTICE
740,31-Mar-2023,Port Terminals to Private Sector under PPP,Jayadev Galla,"PORTS, SHIPPING AND WATERWAYS"
741,31-Mar-2023,Innovative Research Ideas in AYUSH,"Shivkumar Chanabasappa Udasi
Vijay Baghel
Rajendra Agrawal
Mohan Mandavi
Arun Sao
Sudhakar Tukaram Shrangre","AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
742,31-Mar-2023,Performance under Janani Suraksha Yojana,"Ajay Kumar Mandal
Locket Chatterjee
Navneet Ravi Rana
Rama Devi
Ramesh Chander Kaushik",HEALTH AND FAMILY WELFARE
743,31-Mar-2023,Increase in Population,"Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Heena Vijaykumar Gavit
Rita Bahuguna Joshi
Shrikant Eknath Shinde
Krishna Pal Singh Yadav",HEALTH AND FAMILY WELFARE
744,31-Mar-2023,Provisions under National Creche Scheme,Keshari Devi Patel,WOMEN AND CHILD DEVELOPMENT
745,31-Mar-2023,Shortage of Infrastructural and Basic Facilities in Courts,"Sanjay(Kaka) Ramchandra Patil
Kinjarapu Ram Mohan Naidu
Jyotsna Charandas Mahant
Margani Bharat",LAW AND JUSTICE
746,31-Mar-2023,Migration of Indian Citizens,"Suresh Kodikunnil
M. K. Raghavan
Asaduddin Owaisi",EXTERNAL AFFAIRS
747,31-Mar-2023,Women in Artillery Units,Ranjanben Dhananjay Bhatt,DEFENCE
748,31-Mar-2023,Fund for Women Victims of Heinous Crimes,Badruddin Ajmal,WOMEN AND CHILD DEVELOPMENT
749,31-Mar-2023,Regulation to Control Tobacco Consumption,"Ramdas Chandrabhanji Tadas
V. Kalanidhi",HEALTH AND FAMILY WELFARE
750,31-Mar-2023,Efficiency of Tele-mental Health Programme,S. Jothimani,HEALTH AND FAMILY WELFARE
751,31-Mar-2023,Supply of APIs for Life Saving Drugs,"Tapir Gao
Santosh Kumar Gangwar",CHEMICALS AND FERTILIZERS
752,31-Mar-2023,Additional Benches of High Courts,Adoor Prakash,LAW AND JUSTICE
753,31-Mar-2023,Share Fixation for Ordnance Factory,Santosh Kumar,DEFENCE
754,31-Mar-2023,Complaints against Indian Embassy,Sunil Kumar Mondal,EXTERNAL AFFAIRS
755,31-Mar-2023,Protection of High Seas,Andimuthu Raja,EXTERNAL AFFAIRS
756,31-Mar-2023,A New Cervical Cancer Vaccine,"Bidyut Baran Mahato
Shrirang Appa Barne
Sanjay Sadashivrao Mandlik
Sudheer Gupta
Prataprao Jadhav
Sambhajirao Mane Dhairyasheel",HEALTH AND FAMILY WELFARE
757,31-Mar-2023,Assistance for Port Development,Veena Devi,"PORTS, SHIPPING AND WATERWAYS"
758,31-Mar-2023,CGHS Facilities to ICAR Pensioners,Upendra Singh Rawat,HEALTH AND FAMILY WELFARE
759,31-Mar-2023,Milk Adulteration,Rahul Kaswan,HEALTH AND FAMILY WELFARE
760,31-Mar-2023,Mental Illness,A. Ganeshamurthi,HEALTH AND FAMILY WELFARE
761,31-Mar-2023,Naturopathy Treatment Facilities,Sanjeev Kumar Singari,"AYURVEDA,YOGA & NATUROPATHY,UNANI,SIDDHA AND HOMEOPATHY (AYUSH)"
762,29-Mar-2023,Starvation Deaths,Gajanan Chandrakant Kirtikar,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
763,29-Mar-2023,Deposits of Lithium and Gold,Sudarshan Bhagat,MINES
764,29-Mar-2023,Cases of Adulteration in Foodgrains,Ramcharan Bohra,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
765,29-Mar-2023,Dedicated Freight Corridor in Andhra Pradesh,Margani Bharat,RAILWAYS
766,29-Mar-2023,Transportation of Coal through Rail Network,"Unmesh Bhaiyyasaheb Patil
Shrikant Eknath Shinde",COAL
767,29-Mar-2023,Concession to Senior Citizens in Trains,"V. Kalanidhi
Deepak (Dev) Adhikari",RAILWAYS
768,29-Mar-2023,Takedown Request,Pradyut Bordoloi,ELECTRONICS AND INFORMATION TECHNOLOGY
769,29-Mar-2023,Free Foodgrains for Migrant Workers,"Navneet Ravi Rana
Locket Chatterjee","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
770,29-Mar-2023,Last Mile Connectivity under BharatNet Project,Kunwar Danish Ali,COMMUNICATIONS
771,29-Mar-2023,Resumption of Passenger Type Train Services,"Abdul Majeed Ariff
Vellalath Kochukrishnan Nair. Sreekandan",RAILWAYS
772,29-Mar-2023,Starvation Deaths,Gajanan Chandrakant Kirtikar,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
773,29-Mar-2023,Deposits of Lithium and Gold,Jayadev Galla,COAL
774,29-Mar-2023,Development of Textiles in Odisha,Sangeeta Kumari Singh Deo,TEXTILES
775,29-Mar-2023,Research in Iron and Steel Sector,"Dinesh Lal ""Nirahua"" Yadav",STEEL
776,29-Mar-2023,New Textile Parks,"Ganesan Selvam
Manjulata Mandal",TEXTILES
777,29-Mar-2023,Use of Renewable Energy in Textile Industry,Hema Malini,TEXTILES
778,29-Mar-2023,Hathkargha Samvardhan Sahayata (HSS) Yojana,"Amol Ramsing Kolhe
Subhash Ramrao Bhamre",TEXTILES
779,29-Mar-2023,Ration to BPL Families in Telangana,Uttam Kumar Nalamada Reddy,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
780,29-Mar-2023,Setting up of Handloom Clusters,Satyadev Pachauri,TEXTILES
781,29-Mar-2023,Atal Incubation Centres,K. Jayakumar,RAILWAYS
782,29-Mar-2023,ODOP in Ladakh,Jamyang Tsering Namgyal,COMMERCE AND INDUSTRY
783,29-Mar-2023,Scrapping of Boards,Girish Chandra,TEXTILES
784,29-Mar-2023,Futureskills Prime Scheme,Bhartruhari Mahtab,ELECTRONICS AND INFORMATION TECHNOLOGY
785,29-Mar-2023,Startup India Scheme,Shiromani Ram,COMMERCE AND INDUSTRY
786,29-Mar-2023,Manufacturing Sector,Thalikkottai Rajuthevar Baalu,COMMERCE AND INDUSTRY
787,29-Mar-2023,Setting up of Textile Park in Ujjain,Anil Firojiya,TEXTILES
788,29-Mar-2023,Survey by Dalberg Researchers,D. Ravikumar,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
789,29-Mar-2023,Conditions of FPSs,Shyam Yadav Singh,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
790,29-Mar-2023,Lowering Budget Allocation for Food in PDS,Kalyan Banerjee,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
791,29-Mar-2023,Electrification Works in Railways,"Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Vinayak Bhaurao Raut",RAILWAYS
792,29-Mar-2023,GeM,"Dhanush M Kumar
Manjulata Mandal
Ganesan Selvam",COMMERCE AND INDUSTRY
793,29-Mar-2023,Steel Plant in West Bengal,Khan Saumitra,STEEL
794,29-Mar-2023,Number of Post Offices,Ajay Nishad,COMMUNICATIONS
795,29-Mar-2023,Skill Development Programmes,Dharmendra Kumar Kashyap,TEXTILES
796,29-Mar-2023,Research Fellowships,Gaurav Gogoi,SCIENCE AND TECHNOLOGY
797,29-Mar-2023,Tungsten and Lithium,Hanuman Beniwal,MINES
798,29-Mar-2023,Startups in Emerging Technology,"Jagdambika Pal
Vincent H Pala",COMMERCE AND INDUSTRY
799,29-Mar-2023,Cutting of Internet Facility,N.K. Premachandran,ELECTRONICS AND INFORMATION TECHNOLOGY
800,29-Mar-2023,Post Offices in Rajasthan,Sukhbir Singh Jaunapuria,COMMUNICATIONS
801,29-Mar-2023,Electrification Works in Railways,"Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Vinayak Bhaurao Raut",RAILWAYS
802,29-Mar-2023,GeM,"Dhanush M Kumar
Manjulata Mandal
Ganesan Selvam",COMMERCE AND INDUSTRY
803,29-Mar-2023,Indian Startups,L.S. Tejasvi Surya,COMMERCE AND INDUSTRY
804,29-Mar-2023,Transfer of Track Maintainers,Raksha Nikhil Khadse,RAILWAYS
805,29-Mar-2023,Operation of Trains from Darbhanga to Ajmer Sharif Station,Gopal Jee Thakur,RAILWAYS
806,29-Mar-2023,Theft Cases of Personal Data,Kotagiri Sridhar,ELECTRONICS AND INFORMATION TECHNOLOGY
807,29-Mar-2023,Increase in World Food Prices,Sumalatha Ambareesh,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
808,29-Mar-2023,Less Wheat to Ration Depot Holders,Amar Singh,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
809,29-Mar-2023,Export of Agri and Processed Food Products,"Khagen Murmu
Mahabali Singh",COMMERCE AND INDUSTRY
810,29-Mar-2023,Mumbai Urban Transport Project,Rajan Baburao Vichare,RAILWAYS
811,29-Mar-2023,Norms/Parameters of Stoppages of Trains,Bhagirath Chaudhary,RAILWAYS
812,29-Mar-2023,Features of INSPIRE Scheme,Imtiaz Jaleel Syed,COMMERCE AND INDUSTRY
813,29-Mar-2023,Coal Mines allocated to Private Sector,Deepak Baij,COAL
814,29-Mar-2023,Angamaly-Sabari Railway Line Project,"Thomas Chazhikadan
Anto Antony
Dean Kuriakose
Hibi Eden",RAILWAYS
815,29-Mar-2023,Penetration of Broadband Network,Sanjay Jaiswal,COMMUNICATIONS
816,29-Mar-2023,Laying of New Railway Lines in Rajasthan,Nihal Chand Chauhan,RAILWAYS
817,29-Mar-2023,Beneficiaries under Integrated Skill Development Scheme,Hemant Tukaram Godse,TEXTILES
818,29-Mar-2023,Direct Rail Service from Banka to Metropolitan Cities,Giridhari Yadav,RAILWAYS
819,29-Mar-2023,LHB Coaches,"Dayakar Pasunoori
Venkatesh Netha Borlakunta
Gaddam Ranjith Reddy
Kavitha Malothu",RAILWAYS
820,29-Mar-2023,QCOs,Ramesh Bidhuri,COMMERCE AND INDUSTRY
821,29-Mar-2023,Mobile Internet Coverage,Veena Devi,COMMUNICATIONS
822,29-Mar-2023,Spices Boards,"Venkatesh Netha Borlakunta
Dayakar Pasunoori
Gaddam Ranjith Reddy
Kavitha Malothu",COMMERCE AND INDUSTRY
823,29-Mar-2023,Coking and Non-Coking Coal,"Ravi Kishan Shukla
Khagen Murmu
Ravindra Kushawaha",COAL
824,29-Mar-2023,PLI Scheme,Sougata Ray,COMMUNICATIONS
825,29-Mar-2023,High Speed Rail Network under National Rail Plan,Midhun Reddy,RAILWAYS
826,29-Mar-2023,Contractual Appointments,Sangeeta Azad,RAILWAYS
827,29-Mar-2023,Rare Earth Minerals,Brijendra Singh,MINES
828,29-Mar-2023,Status of ROBs/RUBs/Manned/Unmanned Level Crossings,Kanakmal Katara,RAILWAYS
829,29-Mar-2023,Number of Post Offices closed Relocated,Haji Fazlur Rehman,COMMUNICATIONS
830,29-Mar-2023,5G Spectrum,T.R.V.S. Ramesh,COMMUNICATIONS
831,29-Mar-2023,Cities under 5G Services,"Rajmohan Unnithan
Amar Singh
Vincent H Pala
Behanan Benny
Kinjarapu Ram Mohan Naidu",COMMUNICATIONS
832,29-Mar-2023,Spices Boards,"Venkatesh Netha Borlakunta
Dayakar Pasunoori
Gaddam Ranjith Reddy
Kavitha Malothu",COMMERCE AND INDUSTRY
833,29-Mar-2023,Coking and Non-Coking Coal,"Ravi Kishan Shukla
Khagen Murmu
Ravindra Kushawaha",COAL
834,29-Mar-2023,PLI Scheme,Sougata Ray,COMMUNICATIONS
835,29-Mar-2023,High Speed Rail Network under National Rail Plan,Midhun Reddy,RAILWAYS
836,29-Mar-2023,Contractual Appointments,Sangeeta Azad,RAILWAYS
837,29-Mar-2023,Rare Earth Minerals,Brijendra Singh,MINES
838,29-Mar-2023,Status of ROBs/RUBs/Manned/Unmanned Level Crossings,Kanakmal Katara,RAILWAYS
839,29-Mar-2023,Number of Post Offices closed Relocated,Haji Fazlur Rehman,COMMUNICATIONS
840,29-Mar-2023,5G Spectrum,T.R.V.S. Ramesh,COMMUNICATIONS
841,29-Mar-2023,Examination of Damage of Foodgrains,E. T. Mohammed Basheer,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
842,29-Mar-2023,MAI,Raju Bista,COMMERCE AND INDUSTRY
843,29-Mar-2023,New Employment Generation,Alok Kumar Suman,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
844,29-Mar-2023,Movements of Fertilizers,Mahesh Sahoo,RAILWAYS
845,29-Mar-2023,Introduction of New Trains from Bihar,Ajay Kumar Mandal,RAILWAYS
846,29-Mar-2023,Optical Fibre Cables,Sunil Baburao Mendhe,COMMUNICATIONS
847,29-Mar-2023,Bharat Gaurav Train to North Eastern Region,Kripanath Mallah,RAILWAYS
848,29-Mar-2023,Gap in Skill Level,Jyotsna Charandas Mahant,TEXTILES
849,29-Mar-2023,Growth Rate,Dushyant Singh,STATISTICS AND PROGRAMME IMPLEMENTATION
850,29-Mar-2023,Integrated Food Security Scheme,Parbatbhai Savabhai Patel,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
851,29-Mar-2023,Digitisation of Ration Cards,Sunil Dattatray Tatkare,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
852,29-Mar-2023,MAI,Raju Bista,COMMERCE AND INDUSTRY
853,29-Mar-2023,New Employment Generation,Alok Kumar Suman,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
854,29-Mar-2023,Movements of Fertilizers,Mahesh Sahoo,RAILWAYS
855,29-Mar-2023,Geospatial Portal Bhuvan,Kuruva Gorantla Madhav,SPACE
856,29-Mar-2023,Policy for Coal Mining Closure,Asaduddin Owaisi,COAL
857,29-Mar-2023,Non-collection of Haulage Charges from Luxury Trains,A.K.P. Chinraj,RAILWAYS
858,29-Mar-2023,Regional Rail Museum,"Sumedhanand Saraswati
Manoj Rajoria
Balak Nath
Ranjeeta Koli",RAILWAYS
859,29-Mar-2023,Complaints against Departments,Abdul Khaleque,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS"
860,29-Mar-2023,PLI Scheme for textile Sector,Sanjay Haribhau Jadhav,TEXTILES
861,29-Mar-2023,Shree Anna Scheme,Naranbhai Bhikhabhai Kachhadiya,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
862,29-Mar-2023,Export of Red Chilli,Kotha Prabhakar Reddy,COMMERCE AND INDUSTRY
863,29-Mar-2023,Coal Evacuation Railway Project,"Mahabali Singh
Ravi Kishan Shukla
Khagen Murmu
Ravindra Kushawaha",RAILWAYS
864,29-Mar-2023,Price Reporting Centres,Sanjay(Kaka) Ramchandra Patil,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
865,29-Mar-2023,Reduction of Dependency on Coal,Balubhau (Alias Suresh Narayan) Dhanorkar,COAL
866,29-Mar-2023,Import of Vegetable Oil,Ramdas Chandrabhanji Tadas,COMMERCE AND INDUSTRY
867,29-Mar-2023,Setting up of Coach/Loco/Diesel Factory at Shahjahanpur,Arun Kumar Sagar,RAILWAYS
868,29-Mar-2023,Introduction of New Train Services in Andhra Pradesh,"Beesetti Venkata Satyavathi
Kuruva Gorantla Madhav",RAILWAYS
869,29-Mar-2023,Financial Assistance for Development of Sericulture in Tamil Nadu,S. Ramalingam,TEXTILES
870,29-Mar-2023,Food Insecurity and Hunger Eradication,"Arvind Ganpat Sawant
Vinayak Bhaurao Raut
Sanjay Haribhau Jadhav","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
